release_id,iso3,display_name,place_id_candidate,source_group,required_for_canonical,input_status,source_ids,source_vintage,reference_period,license_id,notes
release-candidate-2026-07-07.country-context.v0,ABW,Aruba,country:ABW,identity_boundary,True,candidate_pending_fetch_snapshot_license_and_QA,natural-earth-admin0;geoboundaries-adm1,,,,boundaries/context only
release-candidate-2026-07-07.country-context.v0,ABW,Aruba,country:ABW,wdi_population_land_agriculture,True,candidate_pending_fetch_snapshot_license_and_QA,world-bank-wdi-api,,,,"population, land area, agricultural land denominators"
release-candidate-2026-07-07.country-context.v0,ABW,Aruba,country:ABW,owid_land_animals_slaughtered,True,candidate_pending_fetch_snapshot_license_and_QA,owid-land-animals-slaughtered,,,,land animal slaughter proxy
release-candidate-2026-07-07.country-context.v0,ABW,Aruba,country:ABW,owid_farmed_fish,False,candidate_pending_fetch_snapshot_license_and_QA,owid-farmed-fish-killed,,,,farmed fish proxy
release-candidate-2026-07-07.country-context.v0,ABW,Aruba,country:ABW,owid_wild_caught_fish,False,candidate_pending_fetch_snapshot_license_and_QA,owid-wild-caught-fish,,,,wild caught fish proxy
release-candidate-2026-07-07.country-context.v0,ABW,Aruba,country:ABW,owid_farmed_crustaceans,False,candidate_pending_fetch_snapshot_license_and_QA,owid-farmed-crustaceans,,,,farmed crustacean proxy
release-candidate-2026-07-07.country-context.v0,ABW,Aruba,country:ABW,owid_insecticide_use_fao,False,candidate_pending_fetch_snapshot_license_and_QA,owid-insecticide-use-fao,,,,insecticide use proxy from FAOSTAT via OWID
release-candidate-2026-07-07.country-context.v0,ABW,Aruba,country:ABW,fishcount_farmed_fish_terms_review,False,candidate_pending_fetch_snapshot_license_and_QA,fishcount-farmed-fish,,,,block until redistribution terms verified
release-candidate-2026-07-07.country-context.v0,ABW,Aruba,country:ABW,fishcount_wild_fish_terms_review,False,candidate_pending_fetch_snapshot_license_and_QA,fishcount-wild-fish,,,,block until redistribution terms verified
release-candidate-2026-07-07.country-context.v0,ABW,Aruba,country:ABW,fishcount_crustaceans_terms_review,False,candidate_pending_fetch_snapshot_license_and_QA,fishcount-farmed-decapods,,,,block until redistribution terms verified
release-candidate-2026-07-07.country-context.v0,AFG,Afghanistan,country:AFG,identity_boundary,True,candidate_pending_fetch_snapshot_license_and_QA,natural-earth-admin0;geoboundaries-adm1,,,,boundaries/context only
release-candidate-2026-07-07.country-context.v0,AFG,Afghanistan,country:AFG,wdi_population_land_agriculture,True,candidate_pending_fetch_snapshot_license_and_QA,world-bank-wdi-api,,,,"population, land area, agricultural land denominators"
release-candidate-2026-07-07.country-context.v0,AFG,Afghanistan,country:AFG,owid_land_animals_slaughtered,True,candidate_pending_fetch_snapshot_license_and_QA,owid-land-animals-slaughtered,,,,land animal slaughter proxy
release-candidate-2026-07-07.country-context.v0,AFG,Afghanistan,country:AFG,owid_farmed_fish,False,candidate_pending_fetch_snapshot_license_and_QA,owid-farmed-fish-killed,,,,farmed fish proxy
release-candidate-2026-07-07.country-context.v0,AFG,Afghanistan,country:AFG,owid_wild_caught_fish,False,candidate_pending_fetch_snapshot_license_and_QA,owid-wild-caught-fish,,,,wild caught fish proxy
release-candidate-2026-07-07.country-context.v0,AFG,Afghanistan,country:AFG,owid_farmed_crustaceans,False,candidate_pending_fetch_snapshot_license_and_QA,owid-farmed-crustaceans,,,,farmed crustacean proxy
release-candidate-2026-07-07.country-context.v0,AFG,Afghanistan,country:AFG,owid_insecticide_use_fao,False,candidate_pending_fetch_snapshot_license_and_QA,owid-insecticide-use-fao,,,,insecticide use proxy from FAOSTAT via OWID
release-candidate-2026-07-07.country-context.v0,AFG,Afghanistan,country:AFG,fishcount_farmed_fish_terms_review,False,candidate_pending_fetch_snapshot_license_and_QA,fishcount-farmed-fish,,,,block until redistribution terms verified
release-candidate-2026-07-07.country-context.v0,AFG,Afghanistan,country:AFG,fishcount_wild_fish_terms_review,False,candidate_pending_fetch_snapshot_license_and_QA,fishcount-wild-fish,,,,block until redistribution terms verified
release-candidate-2026-07-07.country-context.v0,AFG,Afghanistan,country:AFG,fishcount_crustaceans_terms_review,False,candidate_pending_fetch_snapshot_license_and_QA,fishcount-farmed-decapods,,,,block until redistribution terms verified
release-candidate-2026-07-07.country-context.v0,AGO,Angola,country:AGO,identity_boundary,True,candidate_pending_fetch_snapshot_license_and_QA,natural-earth-admin0;geoboundaries-adm1,,,,boundaries/context only
